,,,,,,,,
,,A,,B,,C,,D
jeudi,1,8h-17h,,9h-17h,,8h-17h,,10h30-17h
vendredi,2,8h-17h,,8h-17h,,8h-17h,,10h30-17h
samedi,3,,,,,,,
dimanche,4,,,,,,,
lundi,5,8h-17h,,8h-17h,,8h-17h,,10h30-17h
mardi,6,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
mercredi,7,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
jeudi,8,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
vendredi,9,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
samedi,10,,,,,,,
dimanche,11,,,,,,,
lundi,12,8h-17h,,9h-17h,,8h-17h,,10h30-17h
mardi,13,8h-16h,,8h-17h,,9h-18h30,,10h30-17h
mercredi,14,8h-16h,,9h-17h,,9h-18h30,,10h30-17h
jeudi,15,8h-17h,,9h-17h,,9h-18h30,,10h30-17h
vendredi,16,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
samedi,17,,,,,,,
dimanche,18,,,,,,,
lundi,19,8h-17h,,8h-17h,,8h-17h,,10h30-17h
mardi,20,8h-16h,,8h-17h,,9h-18h30,,10h30-17h
mercredi,21,8h-16h,,8h-17h,,9h-18h30,,10h30-17h
jeudi,22,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
vendredi,23,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
samedi,24,,,,,,,
dimanche,25,,,,,,,
lundi,26,8h-17h,,8h-17h,,8h-17h,,10h30-17h
mardi,27,8h-17h,,8h-17h,,9h-18h30,,10h30-17h
mercredi,28,8h-17h30,,8h-17h,,9h-18h30,,10h30-17h
